CountryCode,SeriesCode,DESCRIPTION
BEL,SP.DYN.CBRT.IN,"Data sources : Eurostat, National Institute of Statistics"
BEL,SP.DYN.CDRT.IN,"Data sources : Eurostat, National Institute of Statistics"
BEL,SP.DYN.LE00.FE.IN,Data sources : Eurostat
BEL,SP.DYN.LE00.IN,Derived using male and female life expectancy
BEL,SP.DYN.LE00.MA.IN,Data sources : Eurostat
BEL,SP.DYN.TFRT.IN,Data sources : Eurostat
BEL,SP.POP.TOTL,Data sources : Eurostat
BEN,SG.NOD.CONS,There is no nondiscrimination provision.
BEN,SH.XPD.PCAP.PP.KD,Estimates have been revised based on provisional NHA report.
BEN,SH.XPD.PUBL.ZS,Estimates have been revised based on provisional NHA report.
BEN,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
BEN,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
BEN,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
BEN,SP.DYN.LE00.IN,Derived using male and female life expectancy
BEN,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
BEN,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
BEN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BFA,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
BFA,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
BFA,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
BFA,SP.DYN.LE00.IN,Derived using male and female life expectancy
BFA,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
BFA,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
BFA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BGD,SG.GEN.PARL.ZS,"In 2004, the number of seats in parliament was raised from 300 to 345, with the addition of 45 reserved seats for women. These reserved seats were filled in September and October 2005, being allocated to political parties in proportion to their share of the national vote received in the 2001 election. 
The parliament was dissolved on 27 October 2006, in view of elections that are yet to take place. Women held 52 of the 345 seats (15%) in the outgoing parliament. 
45 reserved seats reserved for women are yet to be filled in 2008."
BGD,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
BGD,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
BGD,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
BGD,SP.DYN.LE00.IN,Derived using male and female life expectancy
BGD,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
BGD,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
BGD,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BGR,SG.NOD.CONS,There is no nondiscrimination provision.
BGR,SP.DYN.CBRT.IN,"Data sources : Eurostat, National Statistical Institute"
BGR,SP.DYN.CDRT.IN,"Data sources : Eurostat, National Statistical Institute"
BGR,SP.DYN.LE00.FE.IN,Data sources : Eurostat
BGR,SP.DYN.LE00.IN,Derived using male and female life expectancy
BGR,SP.DYN.LE00.MA.IN,Data sources : Eurostat
BGR,SP.DYN.TFRT.IN,Data sources : Eurostat
BGR,SP.POP.TOTL,Data sources : Eurostat
BHR,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
BHR,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
BHR,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
BHR,SP.DYN.LE00.IN,Derived using male and female life expectancy
BHR,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
BHR,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
BHR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BHS,SG.OBT.IDCD.MR,There is no national identity card.
BHS,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
BHS,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
BHS,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
BHS,SP.DYN.LE00.IN,Derived using male and female life expectancy
BHS,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
BHS,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
BHS,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BIH,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
BIH,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
BIH,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
BIH,SP.DYN.LE00.IN,Derived using male and female life expectancy
BIH,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
BIH,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
BIH,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BLR,SG.OBT.IDCD.MR,There is no national identity card.
BLR,SP.DYN.CBRT.IN,"Data sources : Eurostat, TransMONEE, United Nations World Population Prospects"
BLR,SP.DYN.CDRT.IN,"Data sources : Eurostat, TransMONEE, United Nations World Population Prospects"
BLR,SP.DYN.LE00.FE.IN,"Data sources : Statistical Year Book; Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research; Eurostat; TransMONEE"
BLR,SP.DYN.LE00.IN,Derived using male and female life expectancy
BLR,SP.DYN.LE00.MA.IN,"Data sources : Statistical Year Book; Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research; Eurostat; TransMONEE"
BLR,SP.DYN.TFRT.IN,"Data sources : Eurostat, Center for Demography and Human Ecology, United Nations World Population Prospects"
BLR,SP.POP.TOTL,Data sources : National Statistical Committee of the Republic of Belarus
BLZ,SG.OBT.IDCD.MR,There is no national identity card.
BLZ,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
BLZ,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
BLZ,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
BLZ,SP.DYN.LE00.IN,Derived using male and female life expectancy
BLZ,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
BLZ,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
BLZ,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BMU,SP.DYN.CBRT.IN,"Data sources : Bermuda Government Department of Statistics, United Nations Population and Vital Statistics Report"
BMU,SP.DYN.CDRT.IN,"Data sources : Bermuda Government Department of Statistics, United Nations Population and Vital Statistics Report"
BMU,SP.DYN.LE00.FE.IN,"Data sources : Bermuda Government Department of Statistics, United Nations Population and Vital Statistics Report"
BMU,SP.DYN.LE00.IN,Derived using male and female life expectancy
BMU,SP.DYN.LE00.MA.IN,"Data sources : Bermuda Government Department of Statistics, United Nations Population and Vital Statistics Report"
BMU,SP.DYN.TFRT.IN,"Data sources : Bermuda Government Department of Statistics, United Nations Population and Vital Statistics Report"
BMU,SP.POP.TOTL,Data sources : Bermuda Government Department of Statistics
BOL,SH.XPD.PCAP.PP.KD,Change of level in 2003 is due to reclassification of public spending.
BOL,SH.XPD.PUBL.ZS,Change of level in 2003 is due to reclassification of public spending.
BOL,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
BOL,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
BOL,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
BOL,SP.DYN.LE00.IN,Derived using male and female life expectancy
BOL,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
BOL,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
BOL,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BRA,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
